일자,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2022-07-22,"15,364","3,793","2,286","3,704","1,596","1,843","1,866",528,"18,806","2,140","2,169","2,640","2,257","1,625","2,899","3,564","1,469"
2022-07-23,"14,817","3,941","2,558","3,754","1,632","1,976","1,865",493,"18,365","2,030","2,138","2,676","2,176","1,747","2,943","3,777","1,589"
2022-07-24,"13,794","3,535","1,922","3,465","1,670","1,986","1,984",585,"17,281","1,895","2,255","2,642","2,351","1,770","3,003","3,515","1,678"
2022-07-25,"5,961","1,436","1,430","1,942","1,106","1,250",702,232,"10,892","1,065","1,259","1,390","1,214",991,"1,771","1,947","1,206"
2022-07-26,"23,047","6,309","3,444","5,350","2,315","2,704","2,391",795,"27,259","2,478","3,006","4,183","2,914","2,546","3,355","5,462","1,624"
2022-07-27,"20,056","5,287","3,876","5,301","2,889","2,845","2,673",829,"27,181","3,301","3,241","4,181","3,371","2,635","4,967","5,480","2,054"
2022-07-28,"18,143","4,694","3,051","4,833","2,469","2,571","2,377",727,"24,241","2,852","2,905","3,653","2,799","2,414","4,287","4,435","1,839"
2022-07-29,"17,494","4,589","3,498","4,370","2,381","2,557","2,157",631,"23,543","2,774","2,578","3,489","2,920","2,365","3,796","4,446","1,622"
2022-07-30,"16,534","4,513","2,873","4,107","2,172","2,476","2,096",620,"22,421","2,609","2,779","3,351","2,926","2,316","3,812","4,447","1,837"
2022-07-31,"14,130","3,833","2,504","3,948","2,284","2,417","2,069",587,"18,573","2,474","2,543","3,248","3,009","2,195","4,145","3,971","1,583"
2022-08-01,"7,310","2,054","1,947","2,453","1,494","1,488","1,096",356,"12,993","1,450","1,445","1,806","1,579","1,447","2,398","2,255","1,013"
2022-08-02,"24,598","7,009","4,485","5,737","2,648","4,162","2,538","1,009","30,081","3,120","3,321","4,295","3,652","3,127","4,404","6,002","1,502"
2022-08-03,"22,993","6,654","4,761","6,256","3,551","3,530","2,855",949,"31,680","4,613","3,953","5,557","4,303","3,635","6,184","6,378","1,966"
2022-08-04,"20,210","6,181","4,394","5,533","3,416","3,314","2,877",918,"27,813","4,369","3,621","4,358","4,228","3,159","5,686","5,814","1,895"
2022-08-05,"20,774","6,633","4,799","5,896","3,392","3,622","2,936",870,"29,402","4,010","3,753","4,802","4,115","3,885","5,782","6,383","1,705"
2022-08-06,"20,145","6,574","4,706","5,586","2,845","3,462","2,956",822,"29,070","3,974","3,913","4,712","4,084","3,587","5,719","6,760","1,642"
2022-08-07,"18,346","5,820","4,721","5,614","3,415","3,452","3,132",863,"26,273","3,430","3,654","4,467","4,479","3,286","5,892","6,735","1,828"
2022-08-08,"7,853","2,615","2,284","2,783","1,996","1,772","1,601",519,"15,075","2,508","1,959","2,229","2,230","2,045","3,420","3,048","1,243"
2022-08-09,"29,465","10,007","7,151","7,761","3,461","4,952","3,519","1,155","39,010","4,760","5,099","5,951","5,505","5,014","5,897","9,437","1,654"
2022-08-10,"26,045","8,910","6,996","7,705","5,159","4,674","4,190","1,327","38,073","5,275","5,346","6,637","6,083","5,862","8,512","8,885","1,993"
2022-08-11,"24,491","8,184","6,299","6,676","4,801","4,265","3,243","1,051","34,822","4,606","4,639","5,838","5,500","5,339","7,124","8,208","2,022"
2022-08-12,"22,812","7,388","5,816","6,998","4,040","3,797","3,103",983,"32,729","4,311","4,238","5,744","4,997","5,230","6,661","7,768","1,984"
2022-08-13,"21,838","7,658","6,069","6,091","4,396","3,900","2,963","1,064","31,108","3,987","4,177","5,224","4,800","5,391","6,210","7,762","1,867"
2022-08-14,"19,576","6,997","5,633","6,059","4,485","4,112","2,810","1,049","29,204","3,463","4,297","5,595","5,099","5,022","6,457","7,714","1,911"
2022-08-15,"8,233","2,925","3,038","2,978","2,714","2,262","1,595",522,"16,075","2,368","2,242","2,841","2,452","2,778","3,584","3,933","1,471"
2022-08-16,"13,048","4,671","4,904","4,201","2,660","2,968","2,104",764,"21,050","2,756","2,986","3,601","3,662","3,439","4,261","5,568","1,391"
2022-08-17,"32,505","13,021","8,727","9,107","5,521","6,175","3,877","1,548","45,946","5,176","5,723","7,535","6,290","7,507","7,548","12,719","1,783"
2022-08-18,"28,356","11,142","9,930","9,207","6,737","6,066","4,208","1,411","42,412","5,638","6,304","8,355","6,980","7,588","10,125","11,630","2,357"
2022-08-19,"21,012","8,761","8,134","6,739","5,411","4,387","3,137",977,"33,354","4,303","4,756","5,775","5,732","6,013","8,620","9,489","2,108"
2022-08-20,"19,955","8,545","7,220","6,244","4,710","4,368","3,149","1,108","31,321","3,669","4,441","5,762","5,079","5,732","7,241","8,835","1,897"
2022-08-21,"16,734","6,827","6,434","5,424","4,031","3,771","2,862",954,"25,579","3,030","3,793","5,185","4,727","5,055","6,937","7,598","1,933"
2022-08-22,"7,389","2,732","3,572","3,109","2,659","2,049","1,282",474,"14,994","2,134","2,024","2,476","2,528","2,629","3,770","3,788","1,353"
2022-08-23,"25,661","10,687","8,635","8,188","4,171","5,209","3,367","1,248","37,218","4,167","4,694","6,743","5,391","6,524","6,418","10,315","1,528"
2022-08-24,"20,561","8,583","7,890","7,088","5,746","4,202","3,264","1,171","32,636","4,627","4,698","6,395","5,529","6,081","9,072","9,617","2,096"
2022-08-25,"17,713","7,164","6,307","5,791","4,140","3,660","2,553",944,"27,015","3,328","3,810","5,241","4,531","5,079","6,421","7,981","1,634"
2022-08-26,"15,748","6,276","5,317","5,417","3,690","3,330","2,159",910,"24,524","3,053","3,402","4,921","4,046","4,361","5,670","6,851","1,394"
2022-08-27,"14,577","6,028","5,578","4,810","3,357","3,054","2,062",831,"22,857","2,833","3,455","4,519","3,735","4,143","5,371","6,910","1,415"
2022-08-28,"13,039","5,070","4,908","4,331","3,233","2,784","1,916",814,"19,823","2,458","2,978","3,995","3,752","3,511","5,211","6,137","1,227"
2022-08-29,"5,752","1,795","1,965","2,578","1,494","1,562",814,437,"11,879","1,512","1,616","2,040","1,558","1,905","2,760","2,570",839
2022-08-30,"20,406","7,808","6,106","6,474","2,953","3,883","2,103","1,067","30,270","3,191","3,788","5,303","3,957","4,522","4,940","7,762","1,035"
2022-08-31,"15,900","5,847","5,734","5,300","3,647","3,203","1,884",848,"25,897","3,386","3,994","5,002","4,286","3,899","6,852","6,779","1,431"
2022-09-01,"13,313","4,486","4,135","4,459","2,818","2,664","1,600",682,"20,244","2,634","3,022","3,779","3,440","3,047","4,780","5,372","1,047"
2022-09-02,"15,558","4,766","5,060","5,164","2,507","3,111","1,460",839,"23,619","2,494","3,029","4,355","3,126","3,469","4,703","5,363",904
2022-09-03,"13,880","4,172","4,238","4,497","2,235","2,512","1,449",736,"21,116","2,408","2,880","3,697","2,930","2,794","4,371","4,976",793
2022-09-04,"11,926","3,683","4,270","3,970","2,365","2,342","1,463",718,"18,356","2,081","2,646","3,329","2,719","2,421","4,423","4,607",755
2022-09-05,"5,316","1,392","1,749","2,372","1,226","1,298",620,363,"10,672","1,257","1,365","1,634","1,618","1,412","2,225","2,425",495
2022-09-06,"18,762","6,084","5,032","5,982","2,429","3,266","1,692",961,"26,770","2,819","3,524","4,467","3,349","3,350","4,291","6,416",567
2022-09-07,"14,526","3,675","5,361","4,786","2,913","2,537","1,368",752,"22,813","2,736","3,148","3,792","3,077","2,747","5,315","5,239",689
2022-09-08,"13,063","3,322","3,930","4,239","2,229","2,279","1,410",609,"19,284","2,315","2,482","2,974","2,729","2,324","3,936","4,750",723
2022-09-09,"12,303","3,604","3,723","4,103","1,949","2,243","1,191",577,"17,862","2,274","2,474","3,128","2,451","2,361","3,857","4,584",672
2022-09-10,"6,071","1,602","2,584","2,293","1,562","1,480",801,414,"10,947","1,458","1,835","1,973","1,846","1,483","2,937","2,991",375
2022-09-11,"4,800","1,184","1,328","1,671",869,"1,003",451,288,"7,060",975,"1,117","1,269","1,263","1,108","1,628","1,818",323
2022-09-12,"6,285","1,544","1,814","2,222",883,"1,273",575,421,"10,070","1,233","1,361","1,710","1,572","1,304","1,877","2,435",287
2022-09-13,"9,545","3,199","3,465","3,400","1,336","2,032",993,567,"15,466","1,664","1,953","2,727","2,168","1,807","2,806","3,777",307
2022-09-14,"17,377","4,979","5,360","5,544","2,532","3,073","1,637",841,"26,122","2,917","3,164","3,723","3,232","2,742","4,329","5,884",470
2022-09-15,"11,812","3,346","3,699","4,260","2,174","1,940","1,334",587,"18,898","2,637","2,690","3,153","2,746","2,166","4,772","4,637",540
2022-09-16,"9,216","2,499","2,955","3,118","1,472","1,604",936,436,"13,849","1,782","1,727","2,131","1,901","1,686","3,032","3,118",350
2022-09-17,"7,653","2,080","2,475","2,599","1,232","1,273",718,327,"11,599","1,490","1,550","1,842","1,672","1,405","2,514","2,620",352
2022-09-18,"5,963","1,593","2,020","2,075","1,108","1,004",653,290,"9,010","1,083","1,253","1,506","1,362","1,078","2,174","2,250",270
2022-09-19,"3,197",638,942,"1,376",550,606,293,208,"5,745",648,680,917,605,586,"1,084","1,026",222
2022-09-20,"9,728","2,406","2,612","3,070","1,061","1,507",678,420,"13,305","1,397","1,415","2,019","1,624","1,409","2,079","2,866",268
2022-09-21,"7,351","1,798","2,132","2,492","1,299","1,161",737,319,"11,593","1,344","1,455","1,698","1,495","1,165","2,536","2,300",354
2022-09-22,"6,149","1,521","1,826","2,069",897,954,532,251,"9,078","1,017","1,157","1,363","1,081","1,073","1,751","1,982",264
2022-09-23,"5,617","1,274","1,436","1,770",776,804,461,256,"8,181",943,978,"1,208",999,874,"1,627","1,641",206
2022-09-24,"5,643","1,257","1,592","1,778",746,814,462,231,"8,129",870,981,"1,266",950,889,"1,648","1,768",267
2022-09-25,"4,881","1,155","1,254","1,703",640,723,451,195,"7,079",707,906,"1,052",932,745,"1,573","1,535",194
2022-09-26,"2,332",472,842,923,466,406,214,134,"4,166",539,471,579,448,443,786,740,153
2022-09-27,"8,542","1,886","2,056","2,479",830,"1,132",564,332,"11,383","1,167","1,154","1,542","1,111","1,117","1,648","2,214",190
2022-09-28,"7,110","1,621","1,664","2,085","1,020","1,014",621,298,"10,284","1,313","1,202","1,483","1,179",998,"2,036","1,939",235
2022-09-29,"6,259","1,416","1,452","1,855",747,816,498,233,"8,820","1,080",990,"1,235",988,909,"1,532","1,738",251
2022-09-30,"5,790","1,267","1,598","1,746",650,732,486,218,"8,167",923,947,"1,039",892,812,"1,452","1,524",218
2022-10-01,"5,578","1,315","1,251","1,566",618,751,454,222,"7,831",900,823,"1,045",795,720,"1,299","1,531",208
2022-10-02,"4,786","1,020","1,017","1,339",585,605,465,210,"6,838",679,791,977,769,686,"1,253","1,364",171
2022-10-03,"2,023",431,772,785,250,337,189,111,"3,779",456,382,468,286,276,721,690,141
2022-10-04,"3,083",693,887,888,322,467,357,184,"4,791",541,499,665,521,427,909,975,144
2022-10-05,"7,664","1,798","1,596","2,095",735,915,539,274,"9,832","1,224","1,088","1,327",974,897,"1,603","1,946",190
2022-10-06,"5,518","1,314","1,608","1,603",681,742,579,221,"7,782","1,125","1,038","1,050",928,692,"1,898","1,567",258
2022-10-07,"4,316","1,053","1,470","1,299",521,598,353,174,"6,144",799,777,803,698,566,"1,285","1,226",179
2022-10-08,"3,958",949,"1,018","1,061",474,503,365,149,"5,327",690,667,753,656,502,"1,109","1,057",156
2022-10-09,"3,550",883,964,981,422,463,310,133,"4,669",542,639,700,577,491,"1,038","1,107",150
2022-10-10,"1,491",316,473,570,233,275,187,77,"2,628",416,349,327,301,257,543,409,79
2022-10-11,"3,049",794,567,941,337,471,345,141,"4,394",480,519,635,488,467,732,915,123
2022-10-12,"6,792","1,692","1,632","1,871",547,853,542,239,"8,490","1,032",943,"1,030",882,731,"1,483","1,544",179
2022-10-13,"5,243","1,203","1,250","1,658",691,728,537,229,"7,432","1,072","1,038",966,822,646,"1,698","1,416",271
2022-10-14,"4,830","1,113",969,"1,409",515,735,488,172,"6,593",902,778,894,704,649,"1,461","1,190",149
2022-10-15,"4,572","1,177","1,109","1,395",546,701,461,179,"6,430",803,774,772,676,601,"1,324","1,091",191
2022-10-16,"4,186",993,"1,052","1,286",566,627,440,192,"6,091",737,649,842,672,544,"1,334","1,036",160
2022-10-17,"1,915",407,464,716,258,350,210,98,"3,363",498,311,420,322,291,646,572,128
2022-10-18,"7,524","1,783","1,461","2,179",674,986,617,248,"9,463","1,070",935,"1,283",898,774,"1,504","1,609",178
2022-10-19,"5,891","1,411","1,360","1,814",678,827,575,208,"8,467","1,244",936,"1,061",885,666,"1,827","1,440",175
2022-10-20,"5,408","1,096","1,116","1,542",670,761,505,175,"7,253","1,009",731,946,708,602,"1,551","1,121",142
2022-10-21,"5,053","1,206","1,245","1,598",568,771,450,170,"7,074",940,769,914,704,589,"1,372","1,115",162
2022-10-22,"6,011","1,218","1,000","1,696",635,808,452,193,"8,050",960,740,911,735,677,"1,402","1,222",167
2022-10-23,"5,170","1,192","1,204","1,660",611,881,534,219,"7,594",834,711,"1,020",852,657,"1,614","1,283",166
2022-10-24,"2,434",493,555,937,344,450,293,132,"4,597",563,514,574,362,365,862,645,147
2022-10-25,"10,055","2,309","1,829","2,640",843,"1,442",771,439,"12,885","1,344","1,369","1,646","1,045","1,027","1,892","2,030",141
2022-10-26,"7,901","1,852","1,956","2,532",972,"1,163",791,363,"12,018","1,657","1,318","1,567","1,204",963,"2,369","1,877",280
2022-10-27,"6,846","1,744","1,556","2,217",895,"1,076",726,342,"10,257","1,300","1,074","1,298","1,003",812,"1,969","1,654",178
2022-10-28,"7,477","1,675","1,604","2,313",805,"1,035",704,309,"10,450","1,394","1,136","1,405","1,018",846,"1,833","1,664",217
2022-10-29,"7,572","1,893","1,680","2,324",874,"1,186",764,301,"10,995","1,380","1,209","1,425","1,028",938,"1,839","1,666",209
2022-10-30,"6,703","1,557","1,703","2,208",886,"1,035",637,329,"9,683","1,273","1,286","1,396","1,078",861,"2,048","1,553",228
2022-10-31,"3,099",674,730,"1,188",455,573,396,179,"5,933",840,632,794,590,524,908,786,161
2022-11-01,"13,014","3,032","2,458","3,744","1,095","1,966",970,517,"17,045","1,981","1,812","2,236","1,557","1,537","2,525","2,608",225
2022-11-02,"10,933","2,420","2,420","3,303","1,326","1,650",990,523,"15,964","2,270","1,984","2,209","1,607","1,380","2,997","2,367",359
2022-11-03,"9,542","2,216","1,767","2,870","1,202","1,509",787,419,"13,819","1,827","1,621","1,759","1,424","1,063","2,611","2,134",281
2022-11-04,"8,672","2,092","1,953","2,629","1,046","1,390",731,397,"12,701","1,634","1,490","1,781","1,290","1,061","2,361","1,916",264
2022-11-05,"8,096","1,974","1,797","2,409",975,"1,366",745,366,"11,756","1,555","1,407","1,702","1,227","1,140","2,243","1,859",242
2022-11-06,"7,157","1,648","1,706","2,059",945,"1,068",767,317,"10,428","1,322","1,422","1,507","1,252",920,"2,162","1,695",237
2022-11-07,"3,317",569,646,"1,171",519,586,280,200,"6,273",821,636,729,482,440,"1,054",738,154
2022-11-08,"14,156","3,172","2,717","3,900","1,213","2,231",993,657,"18,226","1,989","1,921","2,577","1,637","1,463","2,428","2,687",266
2022-11-09,"12,479","2,703","2,704","3,861","1,577","1,949","1,189",465,"18,517","2,445","2,291","2,553","1,866","1,538","3,126","2,831",349
2022-11-10,"11,069","2,468","2,508","3,252","1,458","1,784","1,017",520,"16,263","1,912","1,991","2,221","1,704","1,419","2,819","2,546",364
2022-11-11,"10,897","2,685","2,373","3,602","1,286","1,785",984,454,"15,803","1,968","1,840","2,283","1,650","1,290","2,694","2,522",347
2022-11-12,"10,827","2,759","2,428","3,236","1,332","1,898","1,020",497,"15,278","1,910","1,856","2,347","1,704","1,414","2,704","2,671",386
2022-11-13,"9,257","2,365","2,329","2,846","1,520","1,632",963,445,"13,260","1,570","1,684","2,060","1,768","1,319","2,732","2,321",326
2022-11-14,"3,645",949,"1,046","1,406",692,902,465,187,"7,461",976,909,"1,066",633,591,"1,267","1,277",235
2022-11-15,"15,536","4,540","3,252","4,451","1,575","2,611","1,302",634,"20,494","2,131","2,153","3,079","2,049","1,801","3,018","3,901",309
2022-11-16,"12,474","3,364","2,936","3,825","1,937","2,116","1,273",527,"19,018","2,471","2,304","2,733","2,244","1,772","3,669","3,412",455
2022-11-17,"10,840","2,964","2,395","3,310","1,537","1,831","1,134",450,"15,689","1,820","1,838","2,555","1,752","1,359","2,762","2,780",370
2022-11-18,"9,733","2,549","2,182","2,866","1,387","1,509",874,405,"14,062","1,717","1,643","2,019","1,657","1,338","2,603","2,453",356
2022-11-19,"10,119","2,784","2,258","2,879","1,360","1,627",937,392,"14,332","1,688","1,638","2,179","1,684","1,241","2,448","2,630",340
2022-11-20,"8,800","2,623","1,770","2,790","1,475","1,441","1,077",432,"12,382","1,350","1,604","1,955","1,698","1,276","2,439","2,486",354
2022-11-21,"3,821","1,035","1,311","1,421",549,870,349,256,"7,064",909,684,958,583,566,"1,267","1,130",245
2022-11-22,"15,610","4,590","3,523","4,517","1,516","2,396","1,234",580,"20,722","2,017","2,072","2,931","2,118","1,885","2,743","4,028",329
2022-11-23,"13,493","4,023","2,990","3,908","2,177","2,098","1,420",541,"19,794","2,313","2,457","3,072","2,247","1,871","3,600","3,815",444
2022-11-24,"11,447","3,250","2,720","3,557","1,684","1,878","1,117",424,"16,468","1,830","1,902","2,478","1,895","1,680","2,990","3,350",363
2022-11-25,"10,677","3,172","2,302","3,099","1,661","1,765",903,444,"14,782","1,744","1,632","2,209","1,709","1,476","2,821","2,913",351
2022-11-26,"10,157","2,992","2,494","3,133","1,604","1,617",986,375,"14,712","1,635","1,767","2,341","1,676","1,472","2,626","2,848",314
2022-11-27,"9,152","2,417","2,367","2,615","1,454","1,509",958,385,"12,981","1,278","1,504","1,919","1,742","1,338","2,462","2,572",301
2022-11-28,"3,791",971,724,"1,412",758,820,342,225,"6,683",890,725,941,663,656,"1,196","1,259",219
2022-11-29,"15,500","4,764","3,499","4,168","1,766","2,217","1,259",515,"19,826","1,956","1,962","2,869","2,084","2,099","2,671","3,930",335
2022-11-30,"12,284","3,798","3,025","3,935","2,219","2,046","1,290",517,"18,841","2,187","2,247","2,841","2,275","1,866","3,682","3,808",491
2022-12-01,"11,027","3,148","2,562","3,374","1,842","1,802","1,125",458,"15,928","1,723","1,817","2,390","1,858","1,560","2,856","3,184",377
2022-12-02,"10,482","2,927","2,405","3,085","1,617","1,693",982,363,"15,025","1,584","1,683","2,077","1,671","1,657","2,592","2,740",355
2022-12-03,"10,361","2,754","2,372","3,105","1,776","1,667",918,473,"14,807","1,577","1,727","2,266","1,748","1,614","2,574","2,727",348
2022-12-04,"8,523","2,453","2,327","2,705","1,703","1,466",883,465,"12,847","1,142","1,614","1,916","1,824","1,442","2,373","2,455",359
2022-12-05,"3,920",992,692,"1,406",818,774,419,249,"7,376",736,746,"1,014",657,746,"1,133","1,175",233
2022-12-06,"16,368","4,853","3,759","4,513","2,020","2,588","1,330",639,"22,128","2,021","2,056","3,166","2,314","2,469","2,740","4,214",363
2022-12-07,"13,742","3,962","3,312","4,355","2,551","2,239","1,446",648,"21,322","2,183","2,538","3,117","2,516","2,249","3,653","4,164",672
2022-12-08,"11,973","3,928","3,078","3,840","2,264","1,948","1,235",576,"18,278","1,855","2,175","2,825","2,049","2,037","2,970","3,592",579
2022-12-09,"11,842","3,782","2,782","3,604","2,076","1,848","1,272",522,"17,634","1,747","1,898","2,854","2,048","2,000","2,798","3,407",573
2022-12-10,"11,682","3,834","2,795","3,924","2,043","1,789","1,238",548,"17,522","1,787","2,069","2,726","1,931","1,963","2,602","3,757",477
2022-12-11,"9,595","3,296","2,281","3,391","1,893","1,588","1,215",511,"14,750","1,338","1,937","2,252","2,052","1,680","2,706","3,255",515
2022-12-12,"3,907","1,113",778,"1,542",953,768,518,206,"8,011",980,809,"1,154",720,984,"1,289","1,475",396
2022-12-13,"17,688","6,234","3,949","5,505","2,339","2,629","1,781",770,"24,088","2,210","2,311","3,578","2,377","2,761","2,878","5,304",385
2022-12-14,"15,170","5,421","3,700","5,062","2,869","2,351","1,925",628,"23,186","2,534","2,734","3,702","2,811","2,748","3,732","5,171",774
2022-12-15,"12,826","4,668","3,087","4,194","2,325","2,004","1,521",587,"19,023","1,975","2,079","2,953","2,253","2,321","3,275","4,400",637
2022-12-16,"12,392","4,304","2,869","4,112","2,266","2,002","1,428",496,"18,477","1,857","2,004","2,946","2,111","2,202","2,679","4,144",590
2022-12-17,"12,395","4,228","3,078","4,048","2,105","1,941","1,403",598,"18,026","1,811","2,176","2,820","2,241","2,314","2,792","4,303",600
2022-12-18,"10,636","3,843","2,722","3,532","2,076","1,614","1,352",524,"15,800","1,420","1,803","2,492","2,187","1,890","2,700","3,597",605
2022-12-19,"4,190","1,213",973,"1,549",846,801,565,223,"8,029",921,"1,042","1,102",779,887,"1,370","1,675",402
2022-12-20,"18,209","6,560","3,622","5,618","1,974","2,643","1,718",796,"24,622","1,924","2,301","3,420","2,304","3,165","2,747","5,467",402
2022-12-21,"15,555","5,497","3,616","5,294","2,825","2,365","2,057",730,"23,731","2,487","3,041","3,799","3,163","3,087","3,901","6,016",945
2022-12-22,"13,935","5,136","3,196","4,211","2,372","2,179","1,750",637,"20,919","1,947","2,294","3,141","2,555","2,677","3,299","4,724",714
2022-12-23,"12,405","4,731","2,657","4,317","1,989","1,984","1,547",557,"18,793","1,714","1,936","2,648","2,283","2,388","2,832","4,554",760
2022-12-24,"12,075","4,741","2,832","3,764","1,901","1,821","1,667",582,"18,568","1,710","2,021","2,591","1,896","1,997","2,933","4,460",591
2022-12-25,"10,494","3,986","2,485","3,637","1,708","1,704","1,477",525,"16,431","1,262","1,826","2,332","1,856","1,767","2,576","3,737",560
2022-12-26,"3,579","1,213",844,"1,551",730,765,616,205,"7,737",878,781,"1,002",892,942,"1,358","1,985",401
2022-12-27,"18,717","6,825","3,464","5,698","1,735","2,562","1,762",733,"24,356","1,937","2,163","3,497","2,186","3,049","2,731","5,571",545
2022-12-28,"15,772","6,141","3,521","5,097","2,499","2,346","2,261",685,"24,113","2,280","2,756","3,629","2,525","2,773","3,882","6,183",994
2022-12-29,"13,388","4,833","2,648","4,363","1,867","1,993","1,798",604,"19,647","1,871","2,372","2,892","2,086","2,353","3,207","4,664",749
2022-12-30,"11,665","4,804","2,703","4,154","1,651","1,810","1,497",463,"17,938","1,673","2,007","2,771","1,964","2,174","2,864","4,415",606
2022-12-31,"11,592","4,502","2,614","3,976","1,615","1,745","1,603",465,"16,793","1,630","1,864","2,690","1,799","2,117","3,006","4,344",691
2023-01-01,"9,980","4,062","2,477","3,629","1,564","1,654","1,431",541,"15,633","1,398","1,572","2,426","1,900","1,843","2,785","3,926",588
2023-01-02,"3,302","1,175",593,"1,343",698,737,597,205,"6,660",705,886,968,691,886,"1,216","1,548",480
2023-01-03,"16,955","6,626","3,062","5,190","1,477","2,363","1,615",645,"22,376","1,719","2,097","3,312","2,200","2,778","2,816","5,152",603
2023-01-04,"13,907","5,366","3,150","4,804","2,282","2,180","2,182",623,"20,971","2,103","2,396","3,347","2,592","2,498","3,715","5,370","1,033"
2023-01-05,"11,502","4,482","2,713","4,078","1,611","1,726","1,629",469,"17,053","1,639","1,928","2,746","2,065","2,251","2,930","4,406",814
2023-01-06,"10,403","3,952","2,146","3,534","1,412","1,653","1,447",428,"15,399","1,496","1,649","2,601","1,876","1,963","2,617","3,679",640
2023-01-07,"9,914","3,653","2,008","3,381","1,424","1,519","1,423",402,"14,468","1,356","1,531","2,336","1,749","1,903","2,401","3,546",730
2023-01-08,"7,814","3,036","2,013","3,071","1,373","1,272","1,342",441,"12,292","1,226","1,442","2,096","1,824","1,595","2,285","3,058",529
2023-01-09,"2,841",928,563,"1,182",581,625,387,157,"5,853",608,598,875,579,732,914,"1,275",359
2023-01-10,"12,133","4,697","2,398","3,572","1,120","1,777","1,327",516,"16,101","1,389","1,459","2,717","1,851","2,145","2,283","4,030",488
2023-01-11,"9,527","3,613","2,376","3,417","1,587","1,494","1,414",383,"14,384","1,609","1,612","2,241","1,786","1,827","2,561","3,798",668
2023-01-12,"7,940","2,854","1,892","2,698","1,139","1,271","1,136",322,"11,600","1,207","1,435","1,913","1,509","1,465","2,006","2,973",540
2023-01-13,"7,192","2,869","1,722","2,530",993,"1,138",936,305,"10,295","1,140","1,133","1,685","1,353","1,385","1,832","2,666",504
2023-01-14,"6,640","2,413","1,539","2,161",969,"1,038",936,288,"9,617",977,"1,012","1,556","1,228","1,368","1,691","2,695",524
2023-01-15,"5,745","2,150","1,521","2,005",871,913,913,230,"8,231",834,"1,025","1,380","1,210","1,100","1,720","2,240",450
2023-01-16,"2,135",772,592,849,418,430,286,153,"3,989",508,477,599,500,492,696,952,264
2023-01-17,"8,542","2,949","1,675","2,512",844,"1,173",916,330,"10,562",913,"1,031","1,616","1,166","1,448","1,610","2,564",296
2023-01-18,"6,632","2,414","1,740","2,265","1,016","1,019",916,256,"9,831","1,009","1,316","1,446","1,311","1,083","1,758","2,382",475
2023-01-19,"5,495","1,884","1,355","1,730",803,886,665,237,"7,937",827,933,"1,237","1,097",967,"1,390","1,946",396
2023-01-20,"5,004","1,823","1,267","1,633",699,762,642,204,"7,100",729,894,"1,180",967,"1,085","1,314","1,717",340
2023-01-21,"5,158","1,947","1,306","1,565",733,799,692,171,"7,141",683,902,"1,161",896,936,"1,368","1,770",386
2023-01-22,"2,313",886,"1,028",936,647,467,458,159,"4,142",451,570,797,677,634,"1,052","1,044",341
2023-01-23,"1,438",581,342,536,292,335,210,58,"2,350",303,319,276,378,391,514,664,209
2023-01-24,"2,125",793,520,644,299,402,289,98,"3,273",321,363,547,487,451,573,898,156
2023-01-25,"3,184","1,379","1,089","1,209",460,618,494,204,"5,185",439,559,891,633,669,946,"1,291",263
2023-01-26,"6,810","2,697","1,415","2,221",896,"1,019",820,286,"9,310",779,951,"1,447","1,075","1,170","1,503","2,378",291
2023-01-27,"5,081","2,233","1,599","1,734","1,082",891,834,245,"7,828",821,"1,050","1,344","1,241","1,140","1,865","2,189",511
2023-01-28,"4,061","1,639","1,181","1,144",761,614,693,186,"5,836",634,711,988,862,892,"1,347","1,633",401
2023-01-29,"2,921","1,224","1,132","1,145",669,500,565,156,"4,444",439,674,731,816,707,"1,146","1,286",297
2023-01-30,919,409,322,537,258,201,195,62,"1,928",243,277,293,276,237,469,561,218
2023-01-31,"3,694","1,609",927,"1,127",517,549,531,163,"4,730",490,609,843,733,667,875,"1,354",186
2023-02-01,"3,275","1,519","1,079","1,126",626,571,531,136,"4,732",610,755,754,801,771,"1,231","1,502",386
2023-02-02,"2,879","1,201",916,934,501,444,443,107,"4,090",431,606,708,630,543,936,"1,217",251
2023-02-03,"2,548","1,145",856,739,439,412,397,111,"3,566",419,485,515,575,557,828,"1,106",249
2023-02-04,"2,433","1,050",791,748,405,372,418,78,"3,488",428,524,611,522,564,813,"1,156",206
2023-02-05,"2,296",996,862,819,468,353,408,118,"3,119",333,393,558,540,598,881,995,255
2023-02-06,814,336,294,300,214,151,111,42,"1,544",222,290,243,161,228,325,410,154
2023-02-07,"3,042","1,396",851,785,453,431,459,110,"3,851",427,440,645,557,546,786,"1,169",148
2023-02-08,"2,897","1,344",989,965,569,480,473,116,"4,249",551,664,741,582,709,959,"1,274",352
2023-02-09,"2,457","1,128",820,784,464,332,436,113,"3,461",411,517,544,519,482,816,"1,102",267
2023-02-10,"2,366","1,079",771,700,439,340,360,90,"3,127",337,408,557,478,495,721,"1,005",209
2023-02-11,"2,289",948,745,674,458,317,320,105,"2,840",362,416,482,442,457,726,984,226
2023-02-12,"2,125",861,595,637,444,253,333,88,"2,673",326,411,500,456,445,718,941,223
2023-02-13,741,303,388,241,199,128,136,34,"1,285",169,171,210,177,185,292,363,139
